"scenario","nominalFactor","heapLimitMb","wksMinimumMb","srvMinimumMb","sharedMinimumMb","wksMinimumIsFloorBound","srvMinimumIsFloorBound","wksAchievedFactor","srvAchievedFactor"
"low-allocation-compute","1.3","46","4","35","35","True","False","11.5","1.31"
"low-allocation-compute","2","70","4","35","35","True","False","17.5","2"
"low-allocation-compute","6","210","4","35","35","True","False","52.5","6"
"allocation-churn","1.3","46","11","35","35","False","False","4.18","1.31"
"allocation-churn","2","70","11","35","35","False","False","6.36","2"
"allocation-churn","6","210","11","35","35","False","False","19.09","6"
"long-lived-cache","1.3","181","99","139","139","False","False","1.83","1.3"
"long-lived-cache","2","278","99","139","139","False","False","2.81","2"
"long-lived-cache","6","834","99","139","139","False","False","8.42","6"
"cyclic-garbage","1.3","46","4","35","35","True","False","11.5","1.31"
"cyclic-garbage","2","70","4","35","35","True","False","17.5","2"
"cyclic-garbage","6","210","4","35","35","True","False","52.5","6"
"pointer-chasing","1.3","46","19","35","35","False","False","2.42","1.31"
"pointer-chasing","2","70","19","35","35","False","False","3.68","2"
"pointer-chasing","6","210","19","35","35","False","False","11.05","6"
"multi-thread-throughput","1.3","46","4","35","35","True","False","11.5","1.31"
"multi-thread-throughput","2","70","4","35","35","True","False","17.5","2"
"multi-thread-throughput","6","210","4","35","35","True","False","52.5","6"
"aspnet-request-load","1.3","46","11","35","35","False","False","4.18","1.31"
"aspnet-request-load","2","70","11","35","35","False","False","6.36","2"
"aspnet-request-load","6","210","11","35","35","False","False","19.09","6"
"pinning-heavy-io","1.3","46","11","35","35","False","False","4.18","1.31"
"pinning-heavy-io","2","70","11","35","35","False","False","6.36","2"
"pinning-heavy-io","6","210","11","35","35","False","False","19.09","6"
"lifecycle-semantics","1.3","56","4","43","43","True","False","14","1.3"
"lifecycle-semantics","2","86","4","43","43","True","False","21.5","2"
"lifecycle-semantics","6","258","4","43","43","True","False","64.5","6"
"large-object-pressure","1.3","88","35","67","67","False","False","2.51","1.31"
"large-object-pressure","2","134","35","67","67","False","False","3.83","2"
"large-object-pressure","6","402","35","67","67","False","False","11.49","6"
