"scenario","arm","requestedRate","achievedRate","dispatchLagP50Ms","dispatchLagP99Ms","pauseMaxMs","collections","unexplainedLagMs","withinBound","withinSelection","workerValid"
"allocation-churn","srv","63771","63747.5","0.0008","1.3733","3.0301","205","0","true","true","true"
"allocation-churn","wks","63771","63747.9","0.0012","5.8948","19.5779","649","0","true","true","true"
"allocation-churn","srv","31886","31879","0.0008","0.8414","3.0638","103","0","true","true","true"
"allocation-churn","wks","31886","31879.1","0.001","5.2784","6.8898","324","0","true","true","true"
"allocation-churn","srv","15943","15963.1","0.0008","0.0215","3.0098","52","0","true","true","true"
"allocation-churn","wks","15943","15963.1","0.0009","4.946","7.4105","162","0","true","true","true"
"allocation-churn","srv","7971","7970.4","0.0008","0.0106","3.0043","26","0","true","true","true"
"allocation-churn","wks","7971","7970.4","0.0008","4.2112","6.7836","81","0","true","true","true"
"allocation-churn","srv","3986","3973.6","0.0008","0.0085","3.3544","13","0","true","true","true"
"allocation-churn","wks","3986","3973.5","0.0008","2.5201","8.0506","40","0","true","true","true"
"allocation-churn","srv","1993","1991.7","0.0008","0.0079","3.7378","7","0","true","true","true"
"allocation-churn","wks","1993","1991.7","0.0008","0.0496","7.2223","20","0","true","true","true"
"aspnet-request-load","srv","16000","10465","0.001","1258.4518","2.8404","31","1255.6114","false","false","true"
"aspnet-request-load","wks","16000","10515.7","0.001","1212.9369","7.9252","37","1205.0117","false","false","true"
"aspnet-request-load","srv","8000","7999.9","0.0008","0.0169","3.2477","13","0","true","true","true"
"aspnet-request-load","wks","8000","8000.1","0.0008","0.0153","7.8172","18","0","true","true","true"
"cyclic-garbage","srv","108511","108538","0.0009","0.349","2.6453","1733","0","true","true","true"
"cyclic-garbage","wks","108511","108538.2","0.0009","0.2515","4.4111","1658","0","true","true","true"
"large-object-pressure","srv","3993","3980.9","0.0008","0.2471","2.358","498","0","true","true","true"
"large-object-pressure","wks","3993","3980.9","0.0008","0.1226","1.467","815","0","true","true","true"
"lifecycle-semantics","srv","201091","201149.3","0.0011","106.5849","135.3296","12","0","true","true","true"
"lifecycle-semantics","wks","201091","200259.5","0.0011","85.4222","109.3309","20","0","true","true","true"
"lifecycle-semantics","srv","100546","100572.6","0.001","84.5395","127.7342","6","0","true","true","true"
"lifecycle-semantics","wks","100546","100574.5","0.001","72.7733","94.5451","10","0","true","true","true"
"lifecycle-semantics","srv","50273","50309.6","0.0009","48.5094","109.5478","3","0","true","true","true"
"lifecycle-semantics","wks","50273","50309.9","0.0009","51.3128","86.8805","5","0","true","true","true"
"lifecycle-semantics","srv","25136","25136.1","0.0008","17.4106","115.6875","2","0","true","true","true"
"lifecycle-semantics","wks","25136","25136.2","0.0008","0.0651","84.9884","2","0","true","true","true"
"lifecycle-semantics","srv","12568","12565.7","0.0007","0.0074","0","0","0.0074","true","true","true"
"lifecycle-semantics","wks","12568","12565.7","0.0008","0.0123","32.8702","1","0","true","true","true"
"long-lived-cache","srv","492802","492801","0.001","0.452","26.8347","15","0","true","true","true"
"long-lived-cache","wks","492802","492372.3","0.0012","26.124","32.2173","192","0","true","true","true"
"long-lived-cache","srv","246401","246492.7","0.001","0.017","32.2973","7","0","true","true","true"
"long-lived-cache","wks","246401","246489.5","0.0011","25.7594","33.6103","96","0","true","true","true"
"long-lived-cache","srv","123200","123267.3","0.001","0.0157","32.1418","4","0","true","true","true"
"long-lived-cache","wks","123200","123269","0.0008","22.147","33.3486","48","0","true","true","true"
"long-lived-cache","srv","61600","61586.3","0.0009","0.0212","32.9805","2","0","true","true","true"
"long-lived-cache","wks","61600","61586.9","0.0009","14.8026","31.3965","24","0","true","true","true"
"long-lived-cache","srv","30800","30793.5","0.0008","0.0092","8.6231","1","0","true","true","true"
"long-lived-cache","wks","30800","30793.9","0.0009","5.5974","32.9322","12","0","true","true","true"
"long-lived-cache","srv","15400","15413.8","0.0008","0.0383","15.7962","1","0","true","true","true"
"long-lived-cache","wks","15400","15414","0.0008","0.0198","27.7965","6","0","true","true","true"
"low-allocation-compute","srv","1290265","953533.5","2774.309","4509.3756","0","0","4509.3756","false","false","true"
"low-allocation-compute","wks","1290265","989811.4","2389.2976","3891.8813","0","0","3891.8813","false","false","true"
"low-allocation-compute","srv","645132","645103.5","0.001","0.0641","0","0","0.0641","true","true","true"
"low-allocation-compute","wks","645132","645101.9","0.001","0.1397","0","0","0.1397","true","true","true"
"multi-thread-throughput","srv","1558315","1069013.3","3623.5564","5896.9063","6.5811","384","5890.3252","false","false","true"
"multi-thread-throughput","wks","1558315","1063054.5","3871.4818","6020.8023","5.3431","372","6015.4592","false","false","true"
"multi-thread-throughput","srv","779158","779036.2","0.0024","0.2182","3.0894","191","0","true","true","true"
"multi-thread-throughput","wks","779158","779032.5","0.0023","0.2436","5.3873","186","0","true","true","true"
"pinning-heavy-io","srv","21803","21828.1","0.0009","0.1104","2.011","36","0","true","true","true"
"pinning-heavy-io","wks","21803","21828.3","0.0008","0.127","1.3573","111","0","true","true","true"
"pointer-chasing","srv","74541","74522.5","0.0008","0.0437","0","0","0.0437","true","true","true"
"pointer-chasing","wks","74541","74522.6","0.0008","0.1685","20.1444","1","0","true","true","true"
