runId,scenario,collector,host,heapFactor,heapLimitMb,mode,invocation,valid,status,invalidReason,operationsPerSecond,latencyP50Ms,latencyP99Ms,latencyP999Ms,latencyP9999Ms,latencyMaxMs,serviceTimeP99Ms,arrivalRatePerSecond,achievedRatePerSecond,overloaded,lateFraction,dispatchLagP99Ms,pauseAverageMs,pauseP99Ms,pauseMaxMs,gen0Collections,gen1Collections,gen2Collections,inducedCollections,workingSetMb,committedMb,warmupSeconds,steadyStateSeconds,seed,backgroundLoadPercent
p05.s2.testhost.throughput,allocation-churn,srv,testhost,1.3,46,throughput,0,true,ok,,189153.49325705267,,,,,,,,,false,,,2.0515150888797025,4.7608,8.6267,2420,2419,0,0,60.671875,25.27734375,3,10,20221101,
p05.s2.testhost.throughput,allocation-churn,srv,testhost,1.3,46,throughput,1,true,ok,,190040.2077972817,,,,,,,,,false,,,2.0296374077112387,5.3321,9.7326,2439,2438,0,0,61.828125,26.29296875,3,10,20221102,
p05.s2.testhost.throughput,allocation-churn,srv,testhost,1.3,46,throughput,2,true,ok,,195523.111464755,,,,,,,,,false,,,2.0083718309859155,5.8446,11.0535,2487,2486,0,0,59.26171875,23.26953125,3,10,20221103,
p05.s2.testhost.throughput,allocation-churn,srv,testhost,1.3,46,throughput,3,true,ok,,186437.6086481171,,,,,,,,,false,,,2.0872880299251872,5.8379,12.627,2406,2405,0,0,60.53125,25.140625,3,10,20221104,
p05.s2.testhost.throughput,allocation-churn,srv,testhost,1.3,46,throughput,4,true,ok,,189883.4194749338,,,,,,,,,false,,,2.042613784665579,4.598,12.5885,2452,2451,0,0,60.59375,25.17578125,3,10,20221105,
p05.s2.testhost.throughput,allocation-churn,srv,testhost,2.0,70,throughput,0,true,ok,,247991.28811029633,,,,,,,,,false,,,1.971014529374605,4.5735,10.0776,1584,1583,0,0,76.12890625,40.38671875,3,10,20221101,
p05.s2.testhost.throughput,allocation-churn,srv,testhost,2.0,70,throughput,1,true,ok,,248295.87150610355,,,,,,,,,false,,,1.9897894073139974,4.5037,11.2591,1587,1586,0,0,76.828125,41.46484375,3,10,20221102,
p05.s2.testhost.throughput,allocation-churn,srv,testhost,2.0,70,throughput,2,true,ok,,249333.32484385007,,,,,,,,,false,,,1.9689147869674184,4.5798,7.292,1596,1595,0,0,76.3359375,41.22265625,3,10,20221103,
p05.s2.testhost.throughput,allocation-churn,srv,testhost,2.0,70,throughput,3,true,ok,,241087.11206381005,,,,,,,,,false,,,2.032958850424559,5.0683,9.2167,1532,1531,0,0,79.4765625,44.3359375,3,10,20221104,
p05.s2.testhost.throughput,allocation-churn,srv,testhost,2.0,70,throughput,4,true,ok,,251476.76141995398,,,,,,,,,false,,,1.9305455108359133,3.9864,8.0894,1617,1616,0,0,78.66796875,43.72265625,3,10,20221105,
p05.s2.testhost.throughput,allocation-churn,srv,testhost,6.0,210,throughput,0,true,ok,,272559.2072585339,,,,,,,,,false,,,2.323384615384615,4.4525,6.8894,884,883,0,0,110.1875,75.38671875,3,10,20221101,
p05.s2.testhost.throughput,allocation-churn,srv,testhost,6.0,210,throughput,1,true,ok,,275987.8851421002,,,,,,,,,false,,,2.296223094170404,4.286,6.0088,893,892,0,0,112.8671875,77.35546875,3,10,20221102,
p05.s2.testhost.throughput,allocation-churn,srv,testhost,6.0,210,throughput,2,true,ok,,275570.83163488784,,,,,,,,,false,,,2.3493993212669686,4.5535,10.7316,885,884,0,0,110.05078125,73.21484375,3,10,20221103,
p05.s2.testhost.throughput,allocation-churn,srv,testhost,6.0,210,throughput,3,true,ok,,275946.502779717,,,,,,,,,false,,,2.3398799102132437,4.6779,8.835,892,891,0,0,112.93359375,77.44140625,3,10,20221104,
p05.s2.testhost.throughput,allocation-churn,srv,testhost,6.0,210,throughput,4,true,ok,,274682.8415580647,,,,,,,,,false,,,2.312050618672666,4.3144,6.4557,889,888,0,0,115.52734375,79.2578125,3,10,20221105,
p05.s2.testhost.throughput,allocation-churn,wks,testhost,1.3,46,throughput,0,true,ok,,99770.26934740301,,,,,,,,,false,,,2.902707172495554,4.4818,9.1849,3374,3373,1,0,41.64453125,10.70703125,3,10,20221101,
p05.s2.testhost.throughput,allocation-churn,wks,testhost,1.3,46,throughput,1,true,ok,,97187.37456200666,,,,,,,,,false,,,2.954704655380895,4.5573,7.7546,3310,3309,1,0,40.171875,10.70703125,3,10,20221102,
p05.s2.testhost.throughput,allocation-churn,wks,testhost,1.3,46,throughput,2,true,ok,,97293.07232581331,,,,,,,,,false,,,2.9697153682934223,5.0426,7.9255,3299,3298,1,0,40.22265625,10.70703125,3,10,20221103,
p05.s2.testhost.throughput,allocation-churn,wks,testhost,1.3,46,throughput,3,true,ok,,104016.38815799393,,,,,,,,,false,,,2.8113091374893258,4.13,6.4355,3513,3512,1,0,41.60546875,10.70703125,3,10,20221104,
p05.s2.testhost.throughput,allocation-churn,wks,testhost,1.3,46,throughput,4,true,ok,,100181.21707200867,,,,,,,,,false,,,2.865344295692666,4.8765,13.637,3438,3437,1,0,41.69921875,10.6484375,3,10,20221105,
p05.s2.testhost.throughput,allocation-churn,wks,testhost,2.0,70,throughput,0,true,ok,,113149.54364390971,,,,,,,,,false,,,3.8307089262613196,5.5661,8.1515,2319,2318,1,0,47.66796875,16.703125,3,10,20221101,
p05.s2.testhost.throughput,allocation-churn,wks,testhost,2.0,70,throughput,1,true,ok,,116166.81815689332,,,,,,,,,false,,,3.7406756529064866,5.0534,7.9011,2376,2375,1,0,47.64453125,16.703125,3,10,20221102,
