"mode","scenario","collector","heapFactor","valid","invalidReason","operationsPerSecond","latencyP99Ms","dispatchLagP99Ms","pauseMaxMs"
"throughput","low-allocation-compute","wks","1.3","True",,"2613270.894604",,,
"throughput","low-allocation-compute","wks","2","True",,"2699349.360755",,,
"throughput","low-allocation-compute","wks","6","True",,"2675566.074733",,,
"throughput","low-allocation-compute","srv","1.3","True",,"2580529.501838",,,
"throughput","low-allocation-compute","srv","2","True",,"2585295.956558",,,
"throughput","low-allocation-compute","srv","6","True",,"2583651.568038",,,
"throughput","allocation-churn","wks","1.3","True",,"127541.296705",,,
"throughput","allocation-churn","wks","2","True",,"157762.038649",,,
"throughput","allocation-churn","wks","6","True",,"181279.14609",,,"6.7625"
"throughput","allocation-churn","srv","1.3","True",,"253046.47131",,,"5.2473"
"throughput","allocation-churn","srv","2","True",,"289036.253659",,,"9.7017"
"throughput","allocation-churn","srv","6","True",,"309894.267732",,,"3.2273"
"throughput","long-lived-cache","wks","1.3","True",,"985603.584525",,,"21.8862"
"throughput","long-lived-cache","wks","2","True",,"1223107.959443",,,"23.2569"
"throughput","long-lived-cache","wks","6","True",,"1173950.678529",,,"28.3737"
"throughput","long-lived-cache","srv","1.3","True",,"3017982.040205",,,"17.5869"
"throughput","long-lived-cache","srv","2","True",,"3289763.904624",,,"18.5125"
"throughput","long-lived-cache","srv","6","True",,"3404441.974718",,,"28.949"
"throughput","cyclic-garbage","wks","1.3","True",,"345182.26147",,,
"throughput","cyclic-garbage","wks","2","True",,"257537.630812",,,
"throughput","cyclic-garbage","wks","6","True",,"243751.352826",,,
"throughput","cyclic-garbage","srv","1.3","True",,"286737.124882",,,
"throughput","cyclic-garbage","srv","2","True",,"217022.026047",,,
"throughput","cyclic-garbage","srv","6","True",,"226028.908162",,,"5.8164"
"throughput","pointer-chasing","wks","1.3","True",,"149081.765602",,,
"throughput","pointer-chasing","wks","2","True",,"150296.521072",,,
"throughput","pointer-chasing","wks","6","True",,"153026.527627",,,
"throughput","pointer-chasing","srv","1.3","True",,"149836.367429",,,
