"mode","scenario","collector","heapFactor","publishedValid","publishedLatencyP99Ms","measuredLagP99Ms","measuredPauseMaxMs","unexplainedLagMs"
"latency","allocation-churn","srv","1.3","True","2.2583","2.0594","7.1843","0"
"latency","allocation-churn","srv","2","True","2.3187","1.9081","7.7281","0"
"latency","allocation-churn","srv","6","True","1.7596","1.402","4.037","0"
"latency","allocation-churn","wks","1.3","True","3.0068","2.893","6.0019","0"
"latency","allocation-churn","wks","2","True","3.8553","3.9162","7.8211","0"
"latency","allocation-churn","wks","6","True","5.6164","5.4635","7.8966","0"
"latency","aspnet-request-load","srv","1.3","False","11.81068","11.2857","2.3431","8.9425"
"latency","aspnet-request-load","srv","2","False","11.83506","11.2311","2.5542","8.6769"
"latency","aspnet-request-load","srv","6","False","11.87556","11.1199","3.5328","7.5871"
"latency","aspnet-request-load","wks","1.3","False","11.7166","11.1597","4.5452","6.6145"
"latency","aspnet-request-load","wks","2","False","11.81206","11.2065","6.777","4.4295"
"latency","aspnet-request-load","wks","6","False","11.92498","11.1403","10.0678","1.0725"
"latency","cyclic-garbage","srv","1.3","True","0.4644","0.2724","2.9814","0"
"latency","cyclic-garbage","srv","2","True","0.4884","0.335","3.5938","0"
"latency","cyclic-garbage","srv","6","True","0.4688","0.3259","4.2034","0"
"latency","cyclic-garbage","wks","1.3","True","0.2913","0.235","0.7123","0"
"latency","cyclic-garbage","wks","2","True","0.3332","0.2808","0.8834","0"
"latency","cyclic-garbage","wks","6","True","0.3353","0.2388","4.25","0"
"latency","large-object-pressure","srv","1.3","True","7.4134","3.7066","6.2064","0"
"latency","large-object-pressure","srv","2","True","30.5919","16.4179","23.5137","0"
"latency","large-object-pressure","srv","6","True","14.6417","0.19","3.3271","0"
"latency","large-object-pressure","wks","1.3","True","0.2306","2.4149","7.6568","0"
"latency","large-object-pressure","wks","2","True","0.2383","0.0755","1.3111","0"
"latency","large-object-pressure","wks","6","True","0.244","0.0778","1.273","0"
"latency","lifecycle-semantics","srv","1.3","True","26.9709","26.8474","46.6825","0"
"latency","lifecycle-semantics","srv","2","True","43.0968","44.674","74.2247","0"
"latency","lifecycle-semantics","srv","6","True","90.2488","90.787","129.7804","0"
"latency","lifecycle-semantics","wks","1.3","True","20.2027","14.9932","42.4551","0"
"latency","lifecycle-semantics","wks","2","True","28.5974","28.3972","35.6875","0"
"latency","lifecycle-semantics","wks","6","True","80.4333","75.742","87.1166","0"
"latency","long-lived-cache","srv","1.3","True","2.9449","2.5037","27.7224","0"
"latency","long-lived-cache","srv","2","True","0.7445","0.0378","20.9175","0"
"latency","long-lived-cache","srv","6","True","0.0454","0.0131","28.5707","0"
"latency","long-lived-cache","wks","1.3","True","31.6278","22.8002","29.5782","0"
"latency","long-lived-cache","wks","2","True","29.789","22.4989","30.7042","0"
"latency","long-lived-cache","wks","6","True","28.3874","22.523","32.0862","0"
"latency","low-allocation-compute","srv","1.3","True","0.124","0.0212","0","0.0212"
"latency","low-allocation-compute","srv","2","True","0.0484","0.0147","0","0.0147"
"latency","low-allocation-compute","srv","6","True","0.0655","0.0154","0","0.0154"
"latency","low-allocation-compute","wks","1.3","True","0.0674","0.0182","0","0.0182"
"latency","low-allocation-compute","wks","2","True","0.0722","0.016","0","0.016"
"latency","low-allocation-compute","wks","6","True","0.0534","0.0161","0","0.0161"
"latency","multi-thread-throughput","srv","1.3","True","0.081","0.0448","1.9524","0"
"latency","multi-thread-throughput","srv","2","True","0.0375","0.025","1.0378","0"
"latency","multi-thread-throughput","srv","6","True","0.0326","0.0224","1.1808","0"
"latency","multi-thread-throughput","wks","1.3","True","0.0432","0.0337","1.8069","0"
"latency","multi-thread-throughput","wks","2","True","0.0331","0.0237","2.9873","0"
"latency","multi-thread-throughput","wks","6","True","0.0341","0.0218","5.1226","0"
"latency","pinning-heavy-io","srv","1.3","True","0.615","0.1114","4.2141","0"
"latency","pinning-heavy-io","srv","2","True","0.2235","0.0521","2.575","0"
"latency","pinning-heavy-io","srv","6","True","0.1793","0.0133","0.9091","0"
"latency","pinning-heavy-io","wks","1.3","True","0.518","0.1565","1.4648","0"
"latency","pinning-heavy-io","wks","2","True","0.3456","0.0587","1.4785","0"
"latency","pinning-heavy-io","wks","6","True","0.197","0.0137","1.3782","0"
"latency","pointer-chasing","srv","1.3","True","0.0671","0.0081","0","0.0081"
"latency","pointer-chasing","srv","2","True","0.0757","0.0083","0","0.0083"
"latency","pointer-chasing","srv","6","True","0.0849","0.0083","0","0.0083"
"latency","pointer-chasing","wks","1.3","True","0.0937","0.0082","3.2823","0"
"latency","pointer-chasing","wks","2","True","0.0869","0.0082","16.8433","0"
"latency","pointer-chasing","wks","6","True","0.0886","0.008","17.0625","0"
"throughput","aspnet-request-load","srv","1.3","False","11.6687","11.1038","2.6531","8.4507"
"throughput","aspnet-request-load","srv","2","False","11.78662","11.1965","2.3792","8.8174"
"throughput","aspnet-request-load","srv","6","False","11.8343","11.2669","2.4814","8.7855"
"throughput","aspnet-request-load","wks","1.3","False","11.6443","11.0791","4.541","6.5381"
"throughput","aspnet-request-load","wks","2","False","11.73558","11.13","5.3778","5.7522"
"throughput","aspnet-request-load","wks","6","False","11.85414","11.2963","7.0202","4.2762"
