"Pair","Order","Invocation","Seed","GC","Arm","Variant","Workers","OpsPerSecond","Gen0","Gen1","Gen2","ObservedServerGC","ObservedConcurrentGC","CollectorConfirmed","ReportValid","VerificationSuccess","RequestedClaimBits","RequestedReadyToRun","RequestedTieredCompilation","RequestEvidence","CoreClrSha256","CoreClrFileVersion","Processor","LogicalCores","OS","CompletionMarker"
"srv-0","0","0","20260830","srv","srv","stock","8","2689546.041091","0","0","0","true","true","true","true","true","0","0","0","launcher environment; not independently confirmed by the worker","87fd9956a9d22e870e2f3173fcdc4cf0019990fe2b63243d7da4bd532646b685","42,42,42,42424 @Commit: c34445f3101a188d5777cd01f970aa79467f7bcc","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","16","Microsoft Windows 10.0.26200","low-allocation-compute:stores=1032323072"
"srv-0","1","0","20260830","srv","srv","family","8","2446775.553419","0","0","0","true","true","true","true","true","1","0","0","launcher environment; not independently confirmed by the worker","0563da409d7505941bfe994bce939b87be1bb37ef0bc226400f500f87724b6a2","42,42,42,42424 @Commit: 70207d8de0a347fea0665fb002d17b75c05a2e0c","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","16","Microsoft Windows 10.0.26200","low-allocation-compute:stores=929824768"
"srv-1","0","1","20260831","srv","srv","family","8","2534091.646442","0","0","0","true","true","true","true","true","1","0","0","launcher environment; not independently confirmed by the worker","0563da409d7505941bfe994bce939b87be1bb37ef0bc226400f500f87724b6a2","42,42,42,42424 @Commit: 70207d8de0a347fea0665fb002d17b75c05a2e0c","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","16","Microsoft Windows 10.0.26200","low-allocation-compute:stores=973602816"
"srv-1","1","1","20260831","srv","srv","stock","8","2715012.849894","0","0","0","true","true","true","true","true","0","0","0","launcher environment; not independently confirmed by the worker","87fd9956a9d22e870e2f3173fcdc4cf0019990fe2b63243d7da4bd532646b685","42,42,42,42424 @Commit: c34445f3101a188d5777cd01f970aa79467f7bcc","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","16","Microsoft Windows 10.0.26200","low-allocation-compute:stores=1042022400"
"srv-2","0","2","20260832","srv","srv","stock","8","2613945.181039","0","0","0","true","true","true","true","true","0","0","0","launcher environment; not independently confirmed by the worker","87fd9956a9d22e870e2f3173fcdc4cf0019990fe2b63243d7da4bd532646b685","42,42,42,42424 @Commit: c34445f3101a188d5777cd01f970aa79467f7bcc","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","16","Microsoft Windows 10.0.26200","low-allocation-compute:stores=1004797952"
"srv-2","1","2","20260832","srv","srv","family","8","2550440.761289","0","0","0","true","true","true","true","true","1","0","0","launcher environment; not independently confirmed by the worker","0563da409d7505941bfe994bce939b87be1bb37ef0bc226400f500f87724b6a2","42,42,42,42424 @Commit: 70207d8de0a347fea0665fb002d17b75c05a2e0c","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","16","Microsoft Windows 10.0.26200","low-allocation-compute:stores=979632128"
"srv-3","0","3","20260833","srv","srv","family","8","2521739.926774","0","0","0","true","true","true","true","true","1","0","0","launcher environment; not independently confirmed by the worker","0563da409d7505941bfe994bce939b87be1bb37ef0bc226400f500f87724b6a2","42,42,42,42424 @Commit: 70207d8de0a347fea0665fb002d17b75c05a2e0c","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","16","Microsoft Windows 10.0.26200","low-allocation-compute:stores=969146368"
"srv-3","1","3","20260833","srv","srv","stock","8","2717586.377947","0","0","0","true","true","true","true","true","0","0","0","launcher environment; not independently confirmed by the worker","87fd9956a9d22e870e2f3173fcdc4cf0019990fe2b63243d7da4bd532646b685","42,42,42,42424 @Commit: c34445f3101a188d5777cd01f970aa79467f7bcc","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","16","Microsoft Windows 10.0.26200","low-allocation-compute:stores=1043070976"
"srv-4","0","4","20260834","srv","srv","stock","8","2655356.274339","0","0","0","true","true","true","true","true","0","0","0","launcher environment; not independently confirmed by the worker","87fd9956a9d22e870e2f3173fcdc4cf0019990fe2b63243d7da4bd532646b685","42,42,42,42424 @Commit: c34445f3101a188d5777cd01f970aa79467f7bcc","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","16","Microsoft Windows 10.0.26200","low-allocation-compute:stores=1017118720"
"srv-4","1","4","20260834","srv","srv","family","8","2578929.415618","0","0","0","true","true","true","true","true","1","0","0","launcher environment; not independently confirmed by the worker","0563da409d7505941bfe994bce939b87be1bb37ef0bc226400f500f87724b6a2","42,42,42,42424 @Commit: 70207d8de0a347fea0665fb002d17b75c05a2e0c","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","16","Microsoft Windows 10.0.26200","low-allocation-compute:stores=990642176"
