Case,Method,LayoutBytes,References,Selection,CodeBytes,HelperCalls,RuntimeResult,CoreClrSha256,ClrJitSha256,DisassemblySha256
64-reference-final,P11.WriteBarrierBenchmarks.WriteBarrierBenchmark:MixedStructCopy,1024,64,per-slot,1419,0,PASS,940675F3E803C69B32CC6EC63CDB114BD792EE80AD364606A2B4B3A4BC270227,2DD90D7F3CA6011880189EF1434AEA965E288A389C3996214B568C0CBDBB0533,217F77651269259CEA74BE44B6BFEF9710A7D421368569452885F240D099EEA1
very-large-prefix,Program:StoreVeryLargeValue,49152,4096,per-slot,106418,0,PASS,45FFB67740930C698B0836121F7E5F04FF1B6B84F80AA1B07132BF880C3EB74C,6B0658E33BF6B133D05012F9204BBE6187FB5612866BA08C6DB2D7C2F34812F5,8B91F69ED39017F482BFBE201B58D485134F3E14376723EE56EFEED7B15615FB
very-large-prefix,Program:ClearVeryLargeValue,49152,4096,per-slot,75742,0,PASS,45FFB67740930C698B0836121F7E5F04FF1B6B84F80AA1B07132BF880C3EB74C,6B0658E33BF6B133D05012F9204BBE6187FB5612866BA08C6DB2D7C2F34812F5,8B91F69ED39017F482BFBE201B58D485134F3E14376723EE56EFEED7B15615FB
very-large-final,Program:StoreVeryLargeValue,49152,4096,bounded-helper,43,1,PASS,940675F3E803C69B32CC6EC63CDB114BD792EE80AD364606A2B4B3A4BC270227,2DD90D7F3CA6011880189EF1434AEA965E288A389C3996214B568C0CBDBB0533,29F4E88C192699DB723BC8065ED1085AC4E480140AA57480FEA2DDA72CF2081A
very-large-final,Program:ClearVeryLargeValue,49152,4096,bounded-helper,41,1,PASS,940675F3E803C69B32CC6EC63CDB114BD792EE80AD364606A2B4B3A4BC270227,2DD90D7F3CA6011880189EF1434AEA965E288A389C3996214B568C0CBDBB0533,29F4E88C192699DB723BC8065ED1085AC4E480140AA57480FEA2DDA72CF2081A
very-large-minopts-final,Program:StoreVeryLargeValueMinOpts,49152,4096,bounded-helper,99,1,PASS,940675F3E803C69B32CC6EC63CDB114BD792EE80AD364606A2B4B3A4BC270227,2DD90D7F3CA6011880189EF1434AEA965E288A389C3996214B568C0CBDBB0533,F54B2DE8E38AADB31502EFE75A66F374D651039A1B1A1FC96F11CDC4AF484B4D
very-large-minopts-final,Program:ClearVeryLargeValueMinOpts,49152,4096,bounded-helper,73,1,PASS,940675F3E803C69B32CC6EC63CDB114BD792EE80AD364606A2B4B3A4BC270227,2DD90D7F3CA6011880189EF1434AEA965E288A389C3996214B568C0CBDBB0533,F54B2DE8E38AADB31502EFE75A66F374D651039A1B1A1FC96F11CDC4AF484B4D
very-large-cold-final,Program:StoreVeryLargeValueCold,49152,4096,bounded-helper,90,1,PASS,940675F3E803C69B32CC6EC63CDB114BD792EE80AD364606A2B4B3A4BC270227,2DD90D7F3CA6011880189EF1434AEA965E288A389C3996214B568C0CBDBB0533,F54B2DE8E38AADB31502EFE75A66F374D651039A1B1A1FC96F11CDC4AF484B4D
very-large-cold-final,Program:ClearVeryLargeValueCold,49152,4096,bounded-helper,80,1,PASS,940675F3E803C69B32CC6EC63CDB114BD792EE80AD364606A2B4B3A4BC270227,2DD90D7F3CA6011880189EF1434AEA965E288A389C3996214B568C0CBDBB0533,F54B2DE8E38AADB31502EFE75A66F374D651039A1B1A1FC96F11CDC4AF484B4D
very-large-volatile-final,(dynamicClass):VolatileVeryLargeCopy,49152,4096,bounded-helper,38,1,PASS,940675F3E803C69B32CC6EC63CDB114BD792EE80AD364606A2B4B3A4BC270227,2DD90D7F3CA6011880189EF1434AEA965E288A389C3996214B568C0CBDBB0533,C1E4968021D4285B95AA5CF5382B1FF58491CD8B32C9F13C265F830F10AB851A
