References,LayoutBytes,Selection,Arm,ReportedMeanNs,NormalizationDivisor,MeanNsPerReference,ErrorNsPerReference,StdDevNsPerReference,MinNsPerReference,MaxNsPerReference,Launches,Warmups,Iterations,ReadyToRun,TieredCompilation,ClaimBits
4,64,helper,Stock,2.1865,1,2.1865,0.0263,0.0554,2.1208,2.2742,3,8,20,0,0,0
4,64,helper,P1.2,2.5219,1,2.5219,0.0022,0.0047,2.5161,2.5365,3,8,20,0,0,1
4,64,helper,P1.3,11.2972,1,11.2972,0.1240,0.2748,10.9866,11.9063,3,8,20,0,0,1
16,256,helper,Stock,0.7371,1,0.7371,0.0146,0.0324,0.6776,0.7807,3,8,20,0,0,0
16,256,helper,P1.2,2.2258,1,2.2258,0.0082,0.0184,2.1914,2.2608,3,8,20,0,0,1
16,256,helper,P1.3,7.8081,1,7.8081,0.0289,0.0640,7.7269,7.9995,3,8,20,0,0,1
64,1024,helper,Stock,1.5670,4,0.3918,0.0022,0.0048,0.3823,0.4025,3,8,20,0,0,0
64,1024,helper,P1.2,8.6180,4,2.1545,0.0016,0.0036,2.1485,2.1628,3,8,20,0,0,1
64,1024,helper,P1.3,28.9090,4,7.2273,0.0123,0.0267,7.1870,7.3165,3,8,20,0,0,1
64,1024,per-slot-final,Stock,0.3798,1,0.3798,0.0103,0.0222,0.3469,0.4011,3,8,20,0,0,0
64,1024,per-slot-final,P1.2,2.1536,1,2.1536,0.0016,0.0034,2.1479,2.1629,3,8,20,0,0,1
64,1024,per-slot-final,P1.3,2.1522,1,2.1522,0.0019,0.0040,2.1475,2.1665,3,8,20,0,0,1
