"Pair","Order","Invocation","Seed","GC","Variant","Workers","OpsPerSecond","Gen0","Gen1","Gen2","ObservedServerGC","ObservedConcurrentGC","CollectorConfirmed","ReportValid","VerificationSuccess","RequestedAllocationNotification","RequestedReadyToRun","RequestedTieredCompilation","RequestEvidence","CoreClrSha256","CoreClrFileVersion","CompletionMarker"
"wks-0","0","0","20260901","wks","unregistered","8","152543.259628","593","592","1","false","true","True","True","True","0","0","0","launcher environment; allocation callback execution proven by the correctness matrix","7b4f3431728150b6d6c1d432a3d20133d6146b1d548f46bb634a2642f007bd46","42,42,42,42424 @Commit: 8b4f037f82a92395f304b716c8a630aba2ec20d3","allocation-churn:allocated=116391936"
"wks-0","1","0","20260901","wks","registered-empty","8","132974.299326","521","520","1","false","true","True","True","True","1","0","0","launcher environment; allocation callback execution proven by the correctness matrix","7b4f3431728150b6d6c1d432a3d20133d6146b1d548f46bb634a2642f007bd46","42,42,42,42424 @Commit: 8b4f037f82a92395f304b716c8a630aba2ec20d3","allocation-churn:allocated=102236160"
"wks-1","0","1","20260902","wks","registered-empty","8","132123.891476","519","518","1","false","true","True","True","True","1","0","0","launcher environment; allocation callback execution proven by the correctness matrix","7b4f3431728150b6d6c1d432a3d20133d6146b1d548f46bb634a2642f007bd46","42,42,42,42424 @Commit: 8b4f037f82a92395f304b716c8a630aba2ec20d3","allocation-churn:allocated=101711872"
"wks-1","1","1","20260902","wks","unregistered","8","156354.952779","612","611","1","false","true","True","True","True","0","0","0","launcher environment; allocation callback execution proven by the correctness matrix","7b4f3431728150b6d6c1d432a3d20133d6146b1d548f46bb634a2642f007bd46","42,42,42,42424 @Commit: 8b4f037f82a92395f304b716c8a630aba2ec20d3","allocation-churn:allocated=120061952"
"wks-2","0","2","20260903","wks","unregistered","8","156632.337816","612","611","1","false","true","True","True","True","0","0","0","launcher environment; allocation callback execution proven by the correctness matrix","7b4f3431728150b6d6c1d432a3d20133d6146b1d548f46bb634a2642f007bd46","42,42,42,42424 @Commit: 8b4f037f82a92395f304b716c8a630aba2ec20d3","allocation-churn:allocated=120061952"
"wks-2","1","2","20260903","wks","registered-empty","8","131779.527393","519","518","1","false","true","True","True","True","1","0","0","launcher environment; allocation callback execution proven by the correctness matrix","7b4f3431728150b6d6c1d432a3d20133d6146b1d548f46bb634a2642f007bd46","42,42,42,42424 @Commit: 8b4f037f82a92395f304b716c8a630aba2ec20d3","allocation-churn:allocated=101711872"
"wks-3","0","3","20260904","wks","registered-empty","8","132623.865580","521","520","1","false","true","True","True","True","1","0","0","launcher environment; allocation callback execution proven by the correctness matrix","7b4f3431728150b6d6c1d432a3d20133d6146b1d548f46bb634a2642f007bd46","42,42,42,42424 @Commit: 8b4f037f82a92395f304b716c8a630aba2ec20d3","allocation-churn:allocated=102236160"
"wks-3","1","3","20260904","wks","unregistered","8","157025.752953","612","611","1","false","true","True","True","True","0","0","0","launcher environment; allocation callback execution proven by the correctness matrix","7b4f3431728150b6d6c1d432a3d20133d6146b1d548f46bb634a2642f007bd46","42,42,42,42424 @Commit: 8b4f037f82a92395f304b716c8a630aba2ec20d3","allocation-churn:allocated=120061952"
"wks-4","0","4","20260905","wks","unregistered","8","150020.989411","588","587","1","false","true","True","True","True","0","0","0","launcher environment; allocation callback execution proven by the correctness matrix","7b4f3431728150b6d6c1d432a3d20133d6146b1d548f46bb634a2642f007bd46","42,42,42,42424 @Commit: 8b4f037f82a92395f304b716c8a630aba2ec20d3","allocation-churn:allocated=115343360"
"wks-4","1","4","20260905","wks","registered-empty","8","133094.877525","521","520","1","false","true","True","True","True","1","0","0","launcher environment; allocation callback execution proven by the correctness matrix","7b4f3431728150b6d6c1d432a3d20133d6146b1d548f46bb634a2642f007bd46","42,42,42,42424 @Commit: 8b4f037f82a92395f304b716c8a630aba2ec20d3","allocation-churn:allocated=102236160"
