"GC","Variant","Observation","Count","Minimum","ExpectedObservations"
"wks","registered-counting","1","4097","4096","24"
"wks","registered-counting","2","4097","4096","24"
"wks","registered-counting","3","4097","4096","24"
"wks","registered-counting","4","4097","4096","24"
"wks","registered-counting","5","4097","4096","24"
"wks","registered-counting","6","4097","4096","24"
"wks","registered-counting","7","4097","4096","24"
"wks","registered-counting","8","4097","4096","24"
"wks","registered-counting","9","4097","4096","24"
"wks","registered-counting","10","4097","4096","24"
"wks","registered-counting","11","4097","4096","24"
"wks","registered-counting","12","4097","4096","24"
"wks","registered-counting","13","4097","4096","24"
"wks","registered-counting","14","4097","4096","24"
"wks","registered-counting","15","4097","4096","24"
"wks","registered-counting","16","4097","4096","24"
"wks","registered-counting","17","4097","4096","24"
"wks","registered-counting","18","4097","4096","24"
"wks","registered-counting","19","4097","4096","24"
"wks","registered-counting","20","4097","4096","24"
"wks","registered-counting","21","4097","4096","24"
"wks","registered-counting","22","4097","4096","24"
"wks","registered-counting","23","4097","4096","24"
"wks","registered-counting","24","4097","4096","24"
"srv","registered-counting","25","4097","4096","24"
"srv","registered-counting","26","4097","4096","24"
"srv","registered-counting","27","4097","4096","24"
"srv","registered-counting","28","4097","4096","24"
"srv","registered-counting","29","4097","4096","24"
"srv","registered-counting","30","4097","4096","24"
"srv","registered-counting","31","4097","4096","24"
"srv","registered-counting","32","4097","4096","24"
"srv","registered-counting","33","4097","4096","24"
"srv","registered-counting","34","4097","4096","24"
"srv","registered-counting","35","4097","4096","24"
"srv","registered-counting","36","4097","4096","24"
"srv","registered-counting","37","4097","4096","24"
"srv","registered-counting","38","4097","4096","24"
"srv","registered-counting","39","4097","4096","24"
"srv","registered-counting","40","4097","4096","24"
"srv","registered-counting","41","4097","4096","24"
"srv","registered-counting","42","4097","4096","24"
"srv","registered-counting","43","4097","4096","24"
"srv","registered-counting","44","4097","4096","24"
"srv","registered-counting","45","4097","4096","24"
"srv","registered-counting","46","4097","4096","24"
"srv","registered-counting","47","4097","4096","24"
"srv","registered-counting","48","4097","4096","24"
