"Name","OS","Architecture","Configuration","Mode","Sha256","Length"
"windows-x64-Release-NativeAOT-AttributeTrimming-disabled","windows","x64","Release","disabled","8E68DCDC76E51C1BA872DB89008A4F567DA94E051E2F6CD03E9C3E2CD81B4D63","1559040"
"windows-x64-Release-Runtime.WorkstationGC-disabled","windows","x64","Release","disabled","2EA35B5AC00916ECCCE5C78A0DD7ABD7192B64DBF437634E70A8C81D172989EC","8013870"
"linux-x64-Debug-libcoreclr.so-enabled","linux","x64","Debug","enabled","BB80C5A0E3B5F443011FF06D0656C36AAC7347D70E7379C4B7D9D90E13E50A4B","16023656"
"linux-x64-Debug-libclrgc.so-enabled","linux","x64","Debug","enabled","5CAE40F34E4BAE2E3279928521324B971D24D27A8DC50D81A461E353A6A7C003","2929016"
"linux-x64-Debug-libclrjit.so-enabled","linux","x64","Debug","enabled","50233F3FBA25D65099A000231794EE2E91C24493E394C532AF849C43BEE45E7A","7533392"
"linux-x64-Debug-System.Private.CoreLib.dll-enabled","linux","x64","Debug","enabled","F4FDBD2609B852681AD0E518BDF1EA701A4648C19A981CADE69EE10E4F062E4B","25857024"
"windows-x64-Debug-coreclr.dll-disabled","windows","x64","Debug","disabled","6D36909E70BB4468C2EB24B367AA4C405CA94E3730E7B1856CBB19C84BF23143","26333184"
"windows-x64-Debug-clrgc.dll-disabled","windows","x64","Debug","disabled","64640075254C523B7F1AFEA346410BBF15EE4FDFF9E76597FBCA14709126D804","3050496"
"windows-x64-Debug-clrjit.dll-disabled","windows","x64","Debug","disabled","3C3F969C4B422B18D92D8C532A9C3F38E8ECDF3CDC2074A77D3A17BAF8F9848A","10621440"
"windows-x64-Debug-System.Private.CoreLib.dll-disabled","windows","x64","Debug","disabled","13C171714D049681B72BA7D9B8404BCA9293DBE858325C90DFE270D94D9DCD19","26316800"
"windows-x64-Checked-coreclr.dll-disabled","windows","x64","Checked","disabled","4263B1827C0BB2D537EE7B2B28857E63AF6A94F0450774D13216E9BB395861ED","13627904"
"windows-x64-Checked-clrgc.dll-disabled","windows","x64","Checked","disabled","B50F8B5FCC63DFFA8E34460B76DAD36E154B1134B1161D957EC5D82DD577B7C1","1371648"
"windows-x64-Checked-clrjit.dll-disabled","windows","x64","Checked","disabled","6EFEDE7136C39B138A08F6C20A1FBD03D0E42778B709FFF7D73E933BC464DB2D","5650944"
"windows-x64-Checked-System.Private.CoreLib.dll-disabled","windows","x64","Checked","disabled","70C911A73AD6E032F61B74B5CD42E4CB68C2B135C49891842DD4D98E3778CC8B","26832896"
"windows-x64-Release-coreclr.dll-enabled","windows","x64","Release","enabled","2F34FCDF72DD69AA9A554EE7E1E108F2D879D219AFFB867680F7835FB3698724","5524992"
"windows-x64-Release-clrgc.dll-enabled","windows","x64","Release","enabled","E845D19011F0309DBFB639CFA5B84DC5425836F4F4ACC7343FF14131D01F864C","680448"
"windows-x64-Release-clrjit.dll-enabled","windows","x64","Release","enabled","AB13C44CBCA17CE98BADE42DEAD070E900D6AEB40FABDB356668095AC1181407","2486784"
"windows-x64-Release-System.Private.CoreLib.dll-enabled","windows","x64","Release","enabled","5C23E18CA8E63C97608E0F5F0557D5629AC96515AD9616A65C2E273F7EF6DC2D","18145280"
