"Name","Expected","Result","ExitCode","Evidence"
"old-binary-build","success","PASS","0","old-binary-build.log"
"old-binary-current-runtime-workstation","startup success","PASS","0","old-binary-current-runtime-workstation.log"
"old-binary-current-runtime-server","startup success","PASS","0","old-binary-current-runtime-server.log"
"enabled-current-binary-old-runtime-workstation","startup rejection 0x80004001","PASS","-1","enabled-current-binary-old-runtime-workstation.log"
"enabled-current-binary-old-runtime-server","startup rejection 0x80004001","PASS","-1","enabled-current-binary-old-runtime-server.log"
"null-descriptor-old-runtime-rejection","startup rejection 0x80004005","PASS","-1","null-descriptor-old-runtime-rejection.log"
"old-source-current-header-build","success","PASS","0","old-source-current-header-build.log"
"old-source-current-header-workstation","startup success","PASS","0","old-source-current-header-workstation.log"
"old-source-current-header-server","startup success","PASS","0","old-source-current-header-server.log"
"null-descriptor-rejection","startup rejection","PASS","-1","null-descriptor-rejection.log"
"pure-virtual-negative-control","abstract-class failure","PASS","1","pure-virtual-negative-control.log"
"restored-old-source-current-header-build","success","PASS","0","restored-old-source-current-header-build.log"
"restored-old-source-current-header-workstation","startup success","PASS","0","restored-old-source-current-header-workstation.log"
"restored-old-source-current-header-server","startup success","PASS","0","restored-old-source-current-header-server.log"
