"Session","Scenario","GC","Deployment","Variant","RequestedMode","ObservedMode","Invocation","Order","Seed","OperationsPerSecond","SteadyOperations","WallSeconds","ObjectScans","Ranges","Slots","NonNullSlots","ScanChecksum","ScanErrors","Gen0","Gen1","Gen2","ExpectedInduced","Induced","RequestedServerGC","ObservedServerGC","RequestedConcurrentGC","ObservedConcurrentGC","RequestedHeapCount","ObservedHeapCount","RequestedGCPath","ObservedGCPath","CollectorConfirmed","ReportValid","VerificationSuccess","CompletionMarker","CoreClrSha256","CoreClrFileVersion","HookSha256","HookLibrary","ProcessCount","Processor","LogicalCores","OS","WarmupSeconds","SteadyStateSeconds","RequestedDynamicAdaptationMode","ObservedDynamicAdaptationMode","ScanWindow"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","pointer-chasing","wks","linked","callback","1","1","0","0","20260825","633925.8148634675","1904640","4.6177805","134949","136583","286387","277538","1615801229239680","0","93","2","2","2","2","false","false","true","true","1","1","","","True","True","True","pointer-chasing:hops=141033472","9a3efb985ff03c86d05a6554ffd5cba41fadeae9dadf9b1561e5f90e7c337918","42,42,42,42424 @Commit: cd45d1cb3f2a6bf3a183840eb59b58e0bc97e068","9a3efb985ff03c86d05a6554ffd5cba41fadeae9dadf9b1561e5f90e7c337918","artifacts\tests\coreclr\windows.x64.Release\Tests\Core_Root\coreclr.dll","287","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","16","Microsoft Windows 10.0.26200","0.5","3","","1","post-reset-through-telemetry-end"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","pointer-chasing","wks","linked","visitor","2","2","0","1","20260825","636376.9862411396","1912832","4.3610149","134949","136583","286387","277538","2900106153681756","0","94","3","2","2","2","false","false","true","true","1","1","","","True","True","True","pointer-chasing:hops=142344192","9a3efb985ff03c86d05a6554ffd5cba41fadeae9dadf9b1561e5f90e7c337918","42,42,42,42424 @Commit: cd45d1cb3f2a6bf3a183840eb59b58e0bc97e068","9a3efb985ff03c86d05a6554ffd5cba41fadeae9dadf9b1561e5f90e7c337918","artifacts\tests\coreclr\windows.x64.Release\Tests\Core_Root\coreclr.dll","284","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","16","Microsoft Windows 10.0.26200","0.5","3","","1","post-reset-through-telemetry-end"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","pointer-chasing","wks","linked","cursor","3","3","0","2","20260825","639079.9386530846","1921024","4.3517318","134949","136583","286387","277538","1998113082384730","0","93","2","2","2","2","false","false","true","true","1","1","","","True","True","True","pointer-chasing:hops=142606336","9a3efb985ff03c86d05a6554ffd5cba41fadeae9dadf9b1561e5f90e7c337918","42,42,42,42424 @Commit: cd45d1cb3f2a6bf3a183840eb59b58e0bc97e068","9a3efb985ff03c86d05a6554ffd5cba41fadeae9dadf9b1561e5f90e7c337918","artifacts\tests\coreclr\windows.x64.Release\Tests\Core_Root\coreclr.dll","284","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","16","Microsoft Windows 10.0.26200","0.5","3","","1","post-reset-through-telemetry-end"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","pointer-chasing","wks","linked","visitor","2","2","1","0","20260826","636129.7989034726","1912832","4.3400169","134949","136583","286387","277538","3061982461608610","0","94","2","2","2","2","false","false","true","true","1","1","","","True","True","True","pointer-chasing:hops=142344192","9a3efb985ff03c86d05a6554ffd5cba41fadeae9dadf9b1561e5f90e7c337918","42,42,42,42424 @Commit: cd45d1cb3f2a6bf3a183840eb59b58e0bc97e068","9a3efb985ff03c86d05a6554ffd5cba41fadeae9dadf9b1561e5f90e7c337918","artifacts\tests\coreclr\windows.x64.Release\Tests\Core_Root\coreclr.dll","286","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","16","Microsoft Windows 10.0.26200","0.5","3","","1","post-reset-through-telemetry-end"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","pointer-chasing","wks","linked","cursor","3","3","1","1","20260826","634611.8764821863","1904640","4.3415012","134949","136583","286387","277538","1401233135166593","0","93","2","2","2","2","false","false","true","true","1","1","","","True","True","True","pointer-chasing:hops=141557760","9a3efb985ff03c86d05a6554ffd5cba41fadeae9dadf9b1561e5f90e7c337918","42,42,42,42424 @Commit: cd45d1cb3f2a6bf3a183840eb59b58e0bc97e068","9a3efb985ff03c86d05a6554ffd5cba41fadeae9dadf9b1561e5f90e7c337918","artifacts\tests\coreclr\windows.x64.Release\Tests\Core_Root\coreclr.dll","285","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","16","Microsoft Windows 10.0.26200","0.5","3","","1","post-reset-through-telemetry-end"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","pointer-chasing","wks","linked","callback","1","1","1","2","20260826","643489.323412438","1933312","4.3340702","134949","136583","286387","277538","2311430421988798","0","94","2","2","2","2","false","false","true","true","1","1","","","True","True","True","pointer-chasing:hops=143654912","9a3efb985ff03c86d05a6554ffd5cba41fadeae9dadf9b1561e5f90e7c337918","42,42,42,42424 @Commit: cd45d1cb3f2a6bf3a183840eb59b58e0bc97e068","9a3efb985ff03c86d05a6554ffd5cba41fadeae9dadf9b1561e5f90e7c337918","artifacts\tests\coreclr\windows.x64.Release\Tests\Core_Root\coreclr.dll","285","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","16","Microsoft Windows 10.0.26200","0.5","3","","1","post-reset-through-telemetry-end"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","pointer-chasing","wks","linked","cursor","3","3","2","0","20260827","640899.9445431387","1925120","4.347245","134949","136583","286387","277538","2906961288047907","0","94","2","2","2","2","false","false","true","true","1","1","","","True","True","True","pointer-chasing:hops=143392768","9a3efb985ff03c86d05a6554ffd5cba41fadeae9dadf9b1561e5f90e7c337918","42,42,42,42424 @Commit: cd45d1cb3f2a6bf3a183840eb59b58e0bc97e068","9a3efb985ff03c86d05a6554ffd5cba41fadeae9dadf9b1561e5f90e7c337918","artifacts\tests\coreclr\windows.x64.Release\Tests\Core_Root\coreclr.dll","285","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","16","Microsoft Windows 10.0.26200","0.5","3","","1","post-reset-through-telemetry-end"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","pointer-chasing","wks","linked","callback","1","1","2","1","20260827","640994.6711524396","1925120","4.3313207","134949","136583","286387","277538","2117014330361250","0","94","2","2","2","2","false","false","true","true","1","1","","","True","True","True","pointer-chasing:hops=143392768","9a3efb985ff03c86d05a6554ffd5cba41fadeae9dadf9b1561e5f90e7c337918","42,42,42,42424 @Commit: cd45d1cb3f2a6bf3a183840eb59b58e0bc97e068","9a3efb985ff03c86d05a6554ffd5cba41fadeae9dadf9b1561e5f90e7c337918","artifacts\tests\coreclr\windows.x64.Release\Tests\Core_Root\coreclr.dll","285","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","16","Microsoft Windows 10.0.26200","0.5","3","","1","post-reset-through-telemetry-end"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","pointer-chasing","wks","linked","visitor","2","2","2","2","20260827","639942.819608136","1921024","4.3365453","134949","136583","286387","277538","2570213423400833","0","94","2","2","2","2","false","false","true","true","1","1","","","True","True","True","pointer-chasing:hops=143130624","9a3efb985ff03c86d05a6554ffd5cba41fadeae9dadf9b1561e5f90e7c337918","42,42,42,42424 @Commit: cd45d1cb3f2a6bf3a183840eb59b58e0bc97e068","9a3efb985ff03c86d05a6554ffd5cba41fadeae9dadf9b1561e5f90e7c337918","artifacts\tests\coreclr\windows.x64.Release\Tests\Core_Root\coreclr.dll","285","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","16","Microsoft Windows 10.0.26200","0.5","3","","1","post-reset-through-telemetry-end"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","pointer-chasing","wks","linked","callback","1","1","3","0","20260828","642311.2037894848","1929216","4.3668371","134949","136583","286387","277538","5054040000652839","0","94","2","2","2","2","false","false","true","true","1","1","","","True","True","True","pointer-chasing:hops=143392768","9a3efb985ff03c86d05a6554ffd5cba41fadeae9dadf9b1561e5f90e7c337918","42,42,42,42424 @Commit: cd45d1cb3f2a6bf3a183840eb59b58e0bc97e068","9a3efb985ff03c86d05a6554ffd5cba41fadeae9dadf9b1561e5f90e7c337918","artifacts\tests\coreclr\windows.x64.Release\Tests\Core_Root\coreclr.dll","285","Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz","16","Microsoft Windows 10.0.26200","0.5","3","","1","post-reset-through-telemetry-end"
