"Session","Scenario","GC","Deployment","Variant","Invocations","ObjectScans","Ranges","Slots","NonNullSlots","Gen0Collections","Gen1Collections","Gen2Collections","InducedCollections","ExpectedInducedCollections","MinObjectScans","MaxObjectScans","MinSlots","MaxSlots"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","long-lived-cache","srv","linked","callback","5","2254158","2258292","6789350","6769041","60","25","5","0","0","430639","464028","1297335","1397490"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","long-lived-cache","srv","linked","cursor","5","2303148","2307247","6936186","6916074","60","25","5","0","0","430054","489267","1295566","1473145"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","long-lived-cache","srv","linked","visitor","5","2266501","2270619","6826276","6806043","60","26","5","0","0","429398","465164","1293548","1400821"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","long-lived-cache","wks","linked","callback","5","32844413","32848538","98559918","98537751","997","992","5","0","0","6490248","6621311","19476082","19869264"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","long-lived-cache","wks","linked","cursor","5","32551369","32555494","97680773","97658645","988","983","5","0","0","6459357","6555766","19383405","19672634"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","long-lived-cache","wks","linked","visitor","5","32549495","32553620","97675161","97653007","988","983","5","0","0","6359156","6588550","19082800","19770988"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","long-lived-cache","wks","standalone","callback","5","34211386","34211466","102634579","102630496","1044","520","0","0","0","6783293","6914368","20349963","20743188"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","long-lived-cache","wks","standalone","cursor","5","34113088","34113168","102339681","102335587","1041","519","0","0","0","6783290","6881604","20349954","20644896"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","long-lived-cache","wks","standalone","visitor","5","34244168","34244248","102732937","102728812","1045","521","0","0","0","6816068","6881597","20448288","20644887"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","pointer-chasing","srv","linked","callback","5","675976","684373","1767614","1719076","45","10","10","10","10","135096","135323","288909","418841"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","pointer-chasing","srv","linked","cursor","5","676071","685140","1903000","1851320","45","10","10","10","10","135085","135326","353283","420509"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","pointer-chasing","srv","linked","visitor","5","676040","684926","1771684","1719990","45","10","10","10","10","135070","135309","288887","419028"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","pointer-chasing","wks","linked","callback","5","674745","682915","1431935","1387690","468","10","10","10","10","134949","134949","286387","286387"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","pointer-chasing","wks","linked","cursor","5","674745","682915","1431935","1387690","467","10","10","10","10","134949","134949","286387","286387"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","pointer-chasing","wks","linked","visitor","5","674745","682915","1431935","1387690","470","11","10","10","10","134949","134949","286387","286387"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","pointer-chasing","wks","standalone","callback","5","674755","682925","1432015","1387790","474","10","10","10","10","134951","134951","286403","286403"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","pointer-chasing","wks","standalone","cursor","5","674755","682925","1432015","1387790","477","10","10","10","10","134951","134951","286403","286403"
"20260825T232104Z-ccde4827d8584965888a0807184926dd","pointer-chasing","wks","standalone","visitor","5","674759","682929","1432037","1387807","475","10","10","10","10","134951","134955","286403","286425"
