"enabled","malformed","expected","exit_code","passed","log"
"False","0","start","100","True","R:\artifacts\p16-object-header-bits-startup\startup-False-0.log"
"True","0","start","100","True","R:\artifacts\p16-object-header-bits-startup\startup-True-0.log"
"True","1","fail","-1","True","R:\artifacts\p16-object-header-bits-startup\startup-True-1.log"
"True","2","fail","-1","True","R:\artifacts\p16-object-header-bits-startup\startup-True-2.log"
"True","3","fail","-1","True","R:\artifacts\p16-object-header-bits-startup\startup-True-3.log"
"True","4","fail","-1","True","R:\artifacts\p16-object-header-bits-startup\startup-True-4.log"
"True","5","fail","-1","True","R:\artifacts\p16-object-header-bits-startup\startup-True-5.log"
"True","6","fail","-1","True","R:\artifacts\p16-object-header-bits-startup\startup-True-6.log"
"True","7","fail","-1","True","R:\artifacts\p16-object-header-bits-startup\startup-True-7.log"
"True","8","fail","-1","True","R:\artifacts\p16-object-header-bits-startup\startup-True-8.log"
"True","9","fail","-1","True","R:\artifacts\p16-object-header-bits-startup\startup-True-9.log"
