"gc_mode","gc_stress","gc_linkage","heap","observed","bound","evidence"
"Workstation","none","linked","Small","0","160000","p1.6-seqcst-reuse-wks.log"
"Workstation","none","linked","Large","1","1024","p1.6-seqcst-reuse-wks.log"
"Workstation","none","linked","Pinned","1","8192","p1.6-seqcst-reuse-wks.log"
"Server","none","linked","Small","0","160000","p1.6-seqcst-reuse-server.log"
"Server","none","linked","Large","1","1024","p1.6-seqcst-reuse-server.log"
"Server","none","linked","Pinned","1","8192","p1.6-seqcst-reuse-server.log"
"Workstation","0xC","linked","Small","0","1024","p1.6-seqcst-reuse-gcstress.log"
"Workstation","0xC","linked","Large","1","1024","p1.6-seqcst-reuse-gcstress.log"
"Workstation","0xC","linked","Pinned","1","8192","p1.6-seqcst-reuse-gcstress.log"
"Workstation","none","standalone","Small","0","160000","p1.6-seqcst-standalone.log"
"Workstation","none","standalone","Large","1","1024","p1.6-seqcst-standalone.log"
"Workstation","none","standalone","Pinned","1","8192","p1.6-seqcst-standalone.log"
